,ROILabel,Lobular,Gene,Expression,X_position,Y_position,Group,type
220,26,Region 4,CRP,1.207247071,15021,48429,Group 2,Zone 1
221,28,Region 5,CRP,-0.854397593,22433,54552,Group 2,Zone 3
222,29,Region 5,CRP,-0.413671351,22806,54453,Group 2,Zone 3
223,30,Region 5,CRP,0.448470963,23106,54386,Group 2,Zone 2
224,31,Region 5,CRP,0.658611053,23382,54236,Group 2,Zone 2
225,32,Region 5,CRP,1.366272003,23666,54171,Group 2,Zone 1
226,33,Region 5,CRP,3.303536452,24119,53993,Group 2,Zone 1
227,42,Region 6,CRP,-0.962307369,16525,26339,Group 2,Zone 3
228,43,Region 6,CRP,-0.705595692,16761,25810,Group 2,Zone 2
229,44,Region 6,CRP,-0.619267871,16770,25489,Group 2,Zone 2
230,45,Region 6,CRP,1.051061869,16815,25063,Group 2,Zone 1
231,46,Region 6,CRP,1.714990963,16811,24672,Group 2,Zone 1
232,2,Region 1,CXCL14,2.886587776,26912,24305,Group 1,Zone 3
233,3,Region 1,CXCL14,0.931408864,26867,24276,Group 1,Zone 3
234,4,Region 1,CXCL14,0.774168643,26572,23905,Group 1,Zone 2
235,5,Region 1,CXCL14,-0.84905869,26008,23308,Group 1,Zone 2
236,6,Region 1,CXCL14,-0.744231876,25778,22864,Group 1,Zone 1
237,7,Region 1,CXCL14,0.102324062,25456,22090,Group 1,Zone 1
238,16,Region 2,CXCL14,0.17062032,27853,44984,Group 1,Zone 3
239,17,Region 2,CXCL14,1.042588819,27733,45350,Group 1,Zone 3
240,18,Region 2,CXCL14,0.505748468,27689,45746,Group 1,Zone 2
241,34,Region 2,CXCL14,0.280211989,27432,46002,Group 1,Zone 2
242,35,Region 2,CXCL14,0.256387713,27068,46387,Group 1,Zone 1
243,36,Region 2,CXCL14,0.385038803,26783,46709,Group 1,Zone 1
244,37,Region 3,CXCL14,1.803377363,27522,44296,Group 1,Zone 3
245,38,Region 3,CXCL14,0.94570343,27233,44126,Group 1,Zone 2
246,39,Region 3,CXCL14,0.130913193,26877,43945,Group 1,Zone 2
247,40,Region 3,CXCL14,-0.963415215,26306,44070,Group 1,Zone 1
248,21,Region 4,CXCL14,-1.131773431,16357,48999,Group 1,Zone 3
